State_Year,Population_18_24,Population_35_39,Population_45_49,Population_55_59,Population_75_79,Population_85_Over,Median_Income,White_Pop,Minority_Pop,Hispanic_Pop,Population_Density,Pres_Label
AL_2020,0.120061869,0.079311123,0.081266772,0.087336597,0.038372759,0.023320687,-1.16690987,0.68955449,0.306591051,0.03354837,0.071991411,0
AK_2020,0.126790227,0.093287767,0.079179092,0.08873058,0.023358519,0.012428856,1.137932343,0.6458923,0.320030851,0.05746788,0.000255079,0
AZ_2020,0.124378548,0.081797023,0.077600738,0.078782434,0.043479361,0.025365806,-0.21901991,0.756655215,0.239499575,0.275704821,0.048022594,1
AR_2020,0.122266777,0.082100318,0.07890202,0.084751202,0.040895766,0.025821542,-1.416158661,0.773018322,0.224694581,0.061681451,0.042885829,0
CA_2020,0.122550666,0.089181807,0.083489589,0.081788007,0.031314293,0.025164842,1.407390495,0.572391271,0.422972175,0.353196488,0.185254398,1
CO_2020,0.118651934,0.092653576,0.082066339,0.083660819,0.029614123,0.021109403,0.936459192,0.824640214,0.167233972,0.186918352,0.041983013,1
CT_2020,0.121962705,0.075473242,0.082533647,0.094238906,0.036456535,0.033210287,1.116836606,0.761601642,0.235087558,0.142836684,0.511383737,1
DE_2020,0.109502379,0.07463797,0.075776191,0.090063552,0.044450877,0.024680669,0.373344837,0.695599839,0.299005072,0.075519469,0.306467694,1
DC_2020,0.128384549,0.107442623,0.067326358,0.063009831,0.026607585,0.019568486,2.201228393,0.437891326,0.556903144,0.098273042,1.0004232,1
FL_2020,0.102758774,0.076693753,0.078616061,0.086310526,0.048586618,0.03400351,-0.478550657,0.735033419,0.261013746,0.245018844,0.258242411,0
GA_2020,0.126676623,0.088269206,0.088483404,0.084805333,0.032129258,0.018377248,-0.383176653,0.587601708,0.405768627,0.080187087,0.134370189,1
HI_2020,0.108607146,0.084228597,0.076292664,0.081100206,0.038402186,0.036078034,1.751038277,0.237413303,0.723486729,0.078067536,0.101777298,1
ID_2020,0.125537404,0.089129457,0.077610632,0.082923783,0.037500506,0.022090155,-0.40063825,0.892322234,0.104203871,0.106990622,0.015110793,0
IL_2020,0.119061254,0.085166607,0.082373305,0.087623625,0.034553016,0.027459222,0.365190182,0.714615884,0.283544901,0.150986271,0.1698577,1
IN_2020,0.128699853,0.083135969,0.081129874,0.088064488,0.035148111,0.026627428,-0.560983578,0.840321077,0.158933686,0.058121922,0.140306631,0
IA_2020,0.130768888,0.083959936,0.074838821,0.087803796,0.037492505,0.032771511,-0.4219999,0.906682321,0.092421549,0.049036888,0.042496994,0
KS_2020,0.133531553,0.085106952,0.075279825,0.086160587,0.034839283,0.030236372,-0.346480707,0.839898724,0.151984436,0.098064167,0.02626845,0
KY_2020,0.121540685,0.080519741,0.082064468,0.088538366,0.037401142,0.022692659,-1.156627914,0.874253003,0.121644323,0.029425073,0.084994135,0
LA_2020,0.11985707,0.088538254,0.076970175,0.085868827,0.035771225,0.022345872,-1.364394331,0.630073195,0.364559916,0.046203635,0.067592569,0
ME_2020,0.098611929,0.071356085,0.078366172,0.097890734,0.042446814,0.031582096,-0.707146898,0.94491576,0.053260149,0.014326637,0.030257387,1
MD_2020,0.113301275,0.086821232,0.084084935,0.090837534,0.034177529,0.025077403,1.902697125,0.558052,0.435117689,0.086802496,0.378396853,1
MA_2020,0.126238039,0.078370244,0.079899903,0.089102533,0.034204658,0.029943751,1.787379672,0.784394686,0.214591166,0.104582752,0.522119712,1
MI_2020,0.122689751,0.0764639,0.080035519,0.091015347,0.037158941,0.028268296,-0.511523825,0.792496912,0.206922325,0.042983335,0.080278786,1
MN_2020,0.115893438,0.087657834,0.077920064,0.091713049,0.034897493,0.028484855,0.741545219,0.844764399,0.154401353,0.044309749,0.048943539,1
MS_2020,0.128154491,0.085312497,0.080224601,0.085318652,0.037623087,0.022720778,-1.751031325,0.596401411,0.397786174,0.026186421,0.046434317,0
MO_2020,0.119699996,0.082193175,0.077350125,0.089748915,0.03880763,0.027408263,-0.736663202,0.826487538,0.169618885,0.034625944,0.0675572,0
MT_2020,0.118144412,0.079804013,0.070750052,0.089082433,0.042931597,0.025548663,-0.832569031,0.89348062,0.102864427,0.032012349,0.005093785,0
NE_2020,0.13058604,0.088635992,0.074881119,0.083801389,0.034535933,0.02967372,-0.211662993,0.869726649,0.126216675,0.088961796,0.018170883,1
NV_2020,0.106262336,0.0880228,0.085051529,0.083985696,0.037243551,0.019358724,-0.222919962,0.641960279,0.354031214,0.253080117,0.020631123,1
NH_2020,0.115124832,0.070923078,0.081024097,0.10172818,0.037328032,0.027254347,1.266811341,0.927335713,0.070564084,0.032693007,0.116933335,1
NJ_2020,0.109992477,0.08369849,0.086413593,0.092405689,0.036258406,0.029464373,1.770272625,0.6711413,0.327318877,0.18635625,0.794894388,1
NM_2020,0.122876212,0.08285928,0.073125566,0.084921791,0.038839416,0.025892944,-1.315200491,0.70969969,0.283462044,0.454696334,0.01270604,1
NY_2020,0.116199433,0.081628653,0.079854273,0.087022436,0.035731447,0.030108639,0.55230405,0.637604365,0.360873202,0.176290123,0.282790656,1
NC_2020,0.122189621,0.08073541,0.085209207,0.085574839,0.036722393,0.023533418,-0.665398612,0.688178471,0.299654122,0.073382199,0.149791469,0
ND_2020,0.145681832,0.083480292,0.067268809,0.082511827,0.033671323,0.030537549,-0.251195341,0.868499996,0.118971779,0.030542701,0.007667806,0
OH_2020,0.11741959,0.078584346,0.079946047,0.090983029,0.038032054,0.028701769,-0.599452275,0.822701672,0.17623262,0.03232141,0.202214716,0
OK_2020,0.127395779,0.086491955,0.077082913,0.084846434,0.037601755,0.023282877,-1.117804667,0.736080057,0.257509592,0.086467565,0.042283584,0
OR_2020,0.110127007,0.087582156,0.079302384,0.080014323,0.037021458,0.026598615,0.062847499,0.841573519,0.157323216,0.108225379,0.033093842,1
PA_2020,0.11387585,0.075764815,0.078350543,0.090754805,0.039394191,0.033293141,-0.197215073,0.812961525,0.186246088,0.062951003,0.219934173,1
RI_2020,0.13020881,0.077214397,0.077121712,0.088985328,0.036942397,0.030540128,0.602384266,0.809217766,0.18589694,0.133702663,0.551659874,1
SC_2020,0.11807592,0.079498618,0.079633444,0.085627551,0.040890434,0.021724055,-0.878128732,0.679653731,0.311417877,0.046408507,0.123934969,0
SD_2020,0.12559732,0.08583777,0.070537637,0.088358909,0.035526508,0.030755483,-0.529517248,0.862342504,0.133611317,0.031939951,0.008035888,0
TN_2020,0.116733829,0.082161843,0.083227876,0.086149969,0.037675486,0.022962447,-0.90064267,0.782600148,0.213751938,0.04304991,0.124461295,0
TX_2020,0.131933484,0.094188471,0.086048106,0.080106013,0.029091143,0.019154595,-0.09528189,0.699238777,0.296301772,0.359783071,0.078631254,0
UT_2020,0.159735033,0.103460495,0.077517347,0.068772345,0.026892929,0.016296933,0.945057034,0.86059892,0.137216404,0.126459412,0.025640981,0
VT_2020,0.130957249,0.071227502,0.074620411,0.092764415,0.041037294,0.027192417,0.052654181,0.941793721,0.056726059,0.018250155,0.052377401,1
VA_2020,0.121795077,0.086793366,0.083336082,0.087245573,0.034987858,0.022351655,1.06640184,0.667921342,0.313075414,0.080443341,0.154826253,1
WA_2020,0.112515011,0.090404397,0.080250609,0.082127382,0.032682903,0.023497371,1.169664586,0.751992833,0.238383675,0.10286387,0.08168062,1
WV_2020,0.109789913,0.073658534,0.08009172,0.087517135,0.045365824,0.028028531,-1.588470058,0.931414934,0.067264176,0.013760835,0.059003406,0
WI_2020,0.121459966,0.082024792,0.077430794,0.094813988,0.035373757,0.029393155,-0.19694916,0.866174431,0.133090238,0.055188417,0.068696524,1
WY_2020,0.120320772,0.086738716,0.073936061,0.088071159,0.038136998,0.02238953,0.014274122,0.909485654,0.082992198,0.085327893,0.003992093,0
AL_2016,0.122897734,0.080206962,0.084087966,0.090556127,0.036222611,0.023286021,-1.226194212,0.697725689,0.299899158,0.031719689,0.071209687,0
AK_2016,0.136545388,0.088353747,0.078981747,0.097723943,0.020081053,0.012049715,1.85911201,0.658071757,0.314281384,0.057060216,0.000255941,0
AZ_2016,0.12696321,0.083769613,0.079842956,0.078534071,0.040576015,0.023560316,-0.484521136,0.779788475,0.217853039,0.269454965,0.04592317,0
AR_2016,0.127129731,0.081258188,0.081258188,0.085190135,0.038008088,0.024901745,-1.422987834,0.786682783,0.211811981,0.056619157,0.042339955,0
CA_2016,0.127770508,0.088657107,0.087353327,0.082138207,0.029986973,0.023468073,0.987449662,0.608489146,0.389129969,0.349808363,0.183513997,1
CO_2016,0.124352338,0.09196887,0.084196922,0.086787571,0.028497377,0.018134779,0.780935282,0.848835692,0.143672209,0.183188203,0.040554134,1
CT_2016,0.12674271,0.072243267,0.088719826,0.093789591,0.032953119,0.031685855,1.573280389,0.78447403,0.213577586,0.136398865,0.509011167,1
DE_2016,0.114502654,0.067429964,0.080152927,0.092874553,0.040713213,0.024173762,0.408030498,0.712501938,0.283445048,0.073909709,0.300378841,1
DC_2016,0.143378005,0.100851039,0.07047336,0.063183074,0.023087392,0.018226607,1.647013365,0.4319606,0.561708785,0.096921384,1.0004232,1
FL_2016,0.107769395,0.07518798,0.080200524,0.086466173,0.045112776,0.032581476,-0.755875033,0.774505732,0.222820627,0.234248559,0.249812999,0
GA_2016,0.129629587,0.089947102,0.089947102,0.084656036,0.029100609,0.017195773,-0.485865496,0.60425551,0.390187729,0.076997319,0.130721323,0
HI_2016,0.11607095,0.081632434,0.077805635,0.081632434,0.034439409,0.034439409,1.705544732,0.24733749,0.719152568,0.077352955,0.101975905,1
ID_2016,0.12820484,0.087719439,0.079622198,0.085019824,0.033738369,0.022942315,-0.674179309,0.908438401,0.088656727,0.102476317,0.014361512,0
IL_2016,0.123216602,0.084306139,0.0856031,0.086900163,0.031128391,0.025940343,0.290657528,0.729943375,0.269143757,0.147557754,0.170017787,1
IN_2016,0.131233537,0.082677172,0.082677172,0.089238789,0.034120807,0.024934542,-0.607788607,0.853323663,0.146212187,0.054968014,0.138341844,0
IA_2016,0.132812201,0.082031127,0.078124922,0.088541745,0.036458463,0.032552259,-0.187417574,0.917566373,0.08189156,0.044961229,0.042246677,0
KS_2016,0.136423524,0.084768179,0.076821062,0.088741737,0.034437201,0.029139275,-0.345224756,0.855344167,0.136627624,0.09383693,0.026126874,0
KY_2016,0.125484942,0.081500617,0.085381612,0.089262608,0.034928961,0.021992309,-1.195067107,0.88074955,0.113638444,0.026185277,0.084386147,0
LA_2016,0.126149638,0.086727876,0.078843524,0.088042028,0.032851562,0.021025033,-1.32288472,0.638884032,0.357014365,0.044094833,0.067510315,0
ME_2016,0.102722333,0.068069475,0.084158269,0.101485162,0.037129058,0.032178517,-0.541914967,0.953762727,0.045170202,0.013384865,0.029860834,0
MD_2016,0.116966494,0.086118148,0.088688861,0.089974325,0.03213381,0.02313642,2.132430741,0.577340379,0.414320025,0.082961638,0.377101345,1
MA_2016,0.130325867,0.075187944,0.085212954,0.08897247,0.032581559,0.028822042,1.762214677,0.802230396,0.196207369,0.098224642,0.514984663,1
MI_2016,0.125802286,0.075738103,0.083440305,0.093709821,0.034659908,0.026957707,-0.592586998,0.802329202,0.19756025,0.040338488,0.07947156,0
MN_2016,0.119791627,0.085937441,0.082031162,0.092447907,0.03125,0.028645814,0.766974621,0.857960507,0.139595945,0.041529459,0.048234792,1
MS_2016,0.136242993,0.083333149,0.080687856,0.085978885,0.034391465,0.022486983,-1.693204196,0.604840484,0.392829782,0.023736825,0.046121628,0
MO_2016,0.124352332,0.081606218,0.080310881,0.091968912,0.034974093,0.027202073,-0.667354097,0.835267728,0.160039679,0.032066867,0.066969282,0
MT_2016,0.124199382,0.076824917,0.075543929,0.096029918,0.038412459,0.026888475,-0.817095119,0.905072984,0.090775778,0.028013485,0.004965113,0
NE_2016,0.131648675,0.085106383,0.075797785,0.086436083,0.031914894,0.029255493,-0.122784881,0.891163317,0.104095922,0.084229911,0.017982389,0
NV_2016,0.111833288,0.08712598,0.08712598,0.083224896,0.03381028,0.01690514,-0.306651965,0.688224653,0.309607636,0.247176579,0.019890068,1
NH_2016,0.118159116,0.073382844,0.087064612,0.103233381,0.033582437,0.027363536,1.325711323,0.941575505,0.057613821,0.029592426,0.114327992,1
NJ_2016,0.113110513,0.086118234,0.089974213,0.092544913,0.0334191,0.0282777,1.866144047,0.695744169,0.303114543,0.181571836,0.797974391,1
NM_2016,0.125490112,0.081045514,0.074509636,0.08758202,0.03790872,0.024836964,-1.170868627,0.74803484,0.24586082,0.448037729,0.012528339,1
NY_2016,0.122940438,0.08238274,0.08491762,0.086185028,0.031685714,0.027883425,0.468836936,0.649460172,0.348272166,0.174422108,0.28527381,1
NC_2016,0.124352255,0.082901546,0.088082868,0.085492271,0.034974151,0.020725418,-0.782969058,0.703502649,0.288799984,0.07149873,0.145117384,0
ND_2016,0.151947035,0.079221289,0.067532396,0.08701217,0.033766198,0.031168667,0.385900264,0.881430219,0.106723255,0.025958182,0.007685732,0
OH_2016,0.119845308,0.078608218,0.082474181,0.094072182,0.03608251,0.028350583,-0.60075657,0.832027592,0.166163084,0.029558759,0.200684453,0
OK_2016,0.131473878,0.082337152,0.078353331,0.087649478,0.034528592,0.022576452,-0.926815579,0.75061382,0.246716986,0.081680854,0.041731923,0
OR_2016,0.114212976,0.08756353,0.079949269,0.082487356,0.035533215,0.027918955,-0.081419957,0.860245569,0.138787807,0.103070443,0.032243095,1
PA_2016,0.117424258,0.075757567,0.082070681,0.093434306,0.03661618,0.032828272,-0.13126469,0.825883343,0.171981767,0.058037272,0.219495358,0
RI_2016,0.134663186,0.071072466,0.082294497,0.093515347,0.031172176,0.032419724,0.194380669,0.823517401,0.173111741,0.124672179,0.548360782,1
SC_2016,0.122107883,0.082262131,0.080976817,0.086118071,0.035989812,0.023136419,-0.887208665,0.687401208,0.304487405,0.043749882,0.120084992,0
SD_2016,0.131298674,0.080901621,0.072943708,0.092837725,0.034482759,0.031830121,-0.33509035,0.873690921,0.12190947,0.028250362,0.007892701,0
TN_2016,0.120466315,0.082901535,0.085492129,0.086787426,0.036269483,0.02072553,-0.99899737,0.794895155,0.203703018,0.039917191,0.121381906,0
TX_2016,0.135685192,0.09226594,0.086838552,0.081411115,0.02849391,0.017639085,-0.163736155,0.749583523,0.247827645,0.354048181,0.075950868,0
UT_2016,0.162123097,0.106169403,0.076040165,0.071735854,0.025824926,0.017216774,0.802962104,0.873529239,0.125150879,0.122116137,0.024497689,0
VT_2016,0.130862753,0.0679011,0.080246755,0.097529881,0.037036964,0.028395401,-0.052257687,0.950921773,0.048070176,0.017298938,0.052087906,1
VA_2016,0.125963993,0.084832912,0.086118287,0.087403509,0.032133762,0.021850915,1.030055533,0.682629897,0.300010513,0.076977181,0.152571117,1
WA_2016,0.117117117,0.088803089,0.083655084,0.086229086,0.030888031,0.023166023,0.920128249,0.772641722,0.218647533,0.098898844,0.078925754,1
WV_2016,0.112090619,0.07430752,0.080604359,0.093198726,0.041561891,0.028967525,-1.550288386,0.937535766,0.06210864,0.011947831,0.059486556,0
WI_2016,0.124678536,0.079691413,0.080976823,0.095115665,0.034704511,0.028277684,-0.140468386,0.876465187,0.122341488,0.052982289,0.068133912,0
WY_2016,0.121371824,0.08179479,0.075197491,0.088389835,0.032981988,0.022428112,0.363976855,0.931300668,0.065166352,0.082056158,0.003964154,0
AL_2012,0.131853706,0.079634467,0.087467312,0.087467312,0.0339426,0.022193332,-1.217913797,0.707107037,0.292892963,0.03091743,0.069955858,0
AK_2012,0.142663041,0.078805398,0.107336483,0.096466773,0.016304565,0.008152283,1.7177061,0.704911731,0.295088269,0.050280021,0.000243097,0
AZ_2012,0.132885749,0.087248234,0.088590569,0.079194641,0.033557126,0.021476527,-0.488401698,0.83217691,0.16782309,0.265391441,0.04269782,0
AR_2012,0.126648747,0.081794114,0.091028983,0.084432648,0.03693948,0.022427541,-1.389972988,0.80497388,0.19502612,0.053130363,0.04155608,0
CA_2012,0.140957433,0.08909576,0.093085095,0.079787229,0.026595767,0.022606396,0.75292458,0.642146507,0.357853493,0.342815244,0.175984436,1
CO_2012,0.128947357,0.088157884,0.092105145,0.088157884,0.025000174,0.019736817,0.582870192,0.867736687,0.132263313,0.180610439,0.037434965,1
CT_2012,0.11969088,0.074646226,0.102959978,0.088802922,0.03217506,0.03217506,1.808747701,0.804033977,0.195966023,0.123312092,0.50580428,1
DE_2012,0.130490452,0.074935055,0.095606499,0.081395415,0.034883953,0.023256443,0.753396298,0.730644555,0.269355445,0.070740663,0.285265294,1
DC_2012,0.164053076,0.085645356,0.07358263,0.068757539,0.024125452,0.020506634,1.567699733,0.429921026,0.570078974,0.093285082,1.0004232,1
FL_2012,0.118686811,0.074494913,0.090909109,0.083333306,0.040404063,0.03030308,-0.817425098,0.793907225,0.206092775,0.220473591,0.232907228,1
GA_2012,0.139410089,0.092493287,0.097855235,0.080428939,0.025469148,0.016085843,-0.567532415,0.629316951,0.370683049,0.076525033,0.1247468,0
HI_2012,0.121950468,0.078305558,0.086007821,0.086007821,0.032092916,0.03080905,1.668529485,0.256345566,0.743654434,0.073663099,0.099119134,1
ID_2012,0.137173465,0.083676341,0.086419828,0.087791571,0.031550096,0.020576149,-0.783225534,0.933219036,0.066780964,0.096052322,0.013451845,0
IL_2012,0.127631588,0.085526279,0.093421056,0.084210517,0.030263143,0.024999992,0.376021789,0.74713094,0.25286906,0.139210786,0.168997272,1
IN_2012,0.135278494,0.082228156,0.091511869,0.087533047,0.030504092,0.023872723,-0.587698366,0.866335746,0.133664254,0.051316231,0.135618527,0
IA_2012,0.133507664,0.074607274,0.089005394,0.087696202,0.03534049,0.032722534,-0.110909258,0.935049886,0.064950114,0.0401742,0.04120133,1
KS_2012,0.137516548,0.078771931,0.08945239,0.088117391,0.033377771,0.028037309,-0.211974869,0.86901151,0.13098849,0.087799334,0.025790019,0
KY_2012,0.126797273,0.082352948,0.09411757,0.086274489,0.031372623,0.022222462,-1.205295337,0.892790086,0.107209914,0.025022408,0.082543481,0
LA_2012,0.140397185,0.080794544,0.09139064,0.086092736,0.03046374,0.019867644,-1.054227603,0.653633113,0.346366887,0.04217014,0.066086309,0
ME_2012,0.109159114,0.07402789,0.097866564,0.096612046,0.037641204,0.027604116,-0.59925546,0.964238683,0.035761317,0.01103749,0.029507683,1
MD_2012,0.1263021,0.080729058,0.100260426,0.085937572,0.028645932,0.023437641,2.267965307,0.605026928,0.394973072,0.07663691,0.365024058,1
MA_2012,0.13071062,0.077411112,0.097715733,0.087563326,0.031725957,0.029187904,1.585035374,0.825869883,0.174130117,0.08783707,0.49803584,1
MI_2012,0.131510304,0.078125027,0.095052037,0.092447922,0.032552094,0.026041676,-0.606685021,0.813935258,0.186064742,0.03713395,0.078290871,1
MN_2012,0.124835615,0.076215413,0.095926312,0.088042002,0.031537489,0.026281363,0.812596925,0.88567516,0.11432484,0.038288655,0.046617998,1
MS_2012,0.14037406,0.084224705,0.089572263,0.08556137,0.030748681,0.020053565,-1.740459563,0.617564801,0.382435199,0.022984084,0.045630366,0
MO_2012,0.128272171,0.079842811,0.091623073,0.087696391,0.032722635,0.026178021,-0.780395225,0.845143465,0.154856535,0.03004068,0.065663301,0
MT_2012,0.12724873,0.071979964,0.086118426,0.102827048,0.032133453,0.025706762,-0.81459479,0.913940806,0.086059194,0.026170318,0.004759521,0
NE_2012,0.135026188,0.07754028,0.089571741,0.086898164,0.034759411,0.028075104,-0.138150981,0.90499404,0.09500596,0.076507125,0.017432284,0
NV_2012,0.121532179,0.091149377,0.09247022,0.080581171,0.029062443,0.017173394,-0.239216592,0.728376216,0.271623784,0.234699337,0.018379378,1
NH_2012,0.119441039,0.077509292,0.105464111,0.094028093,0.030495728,0.024142491,1.323113879,0.95519479,0.04480521,0.02415695,0.111419532,1
NJ_2012,0.114583286,0.083333272,0.101562545,0.085937538,0.031250014,0.027343836,2.095316469,0.711818598,0.288181402,0.171401103,0.783722033,1
NM_2012,0.134486922,0.078562028,0.087882524,0.09054598,0.03195763,0.021305087,-1.074275624,0.739870875,0.260129125,0.432340554,0.01233363,1
NY_2012,0.130601774,0.080665803,0.094750291,0.084507057,0.030729833,0.026888645,0.521193045,0.671597995,0.328402005,0.167899548,0.279867304,1
NC_2012,0.13106156,0.085190062,0.094364253,0.085190062,0.031454796,0.019659349,-0.795136416,0.72156505,0.27843495,0.068147896,0.138180106,0
ND_2012,0.15917746,0.069320125,0.082156351,0.087291592,0.02952576,0.03209338,0.311514333,0.926736475,0.073263525,0.018251128,0.007148914,0
OH_2012,0.125326358,0.07832903,0.092689281,0.090078306,0.033942565,0.026109752,-0.597250658,0.84715471,0.15284529,0.0260972,0.19740649,1
OK_2012,0.135278297,0.082228121,0.087533139,0.08488063,0.033156534,0.02122042,-0.896437886,0.765194734,0.234805266,0.07501916,0.040668541,0
OR_2012,0.121133806,0.081185661,0.085051438,0.090206252,0.030927887,0.025773405,-0.33580088,0.880125941,0.119874059,0.097005894,0.030329645,1
PA_2012,0.126436731,0.075351239,0.093231136,0.090676836,0.035759895,0.031928545,-0.084021325,0.840524747,0.159475253,0.05021064,0.217197276,1
RI_2012,0.144120646,0.075853668,0.093552336,0.087230696,0.032869642,0.031605795,0.243468992,0.837132089,0.162867911,0.109886146,0.539728201,1
SC_2012,0.135240326,0.080624233,0.089726776,0.085825806,0.032509758,0.019505966,-1.019792179,0.69412909,0.30587091,0.043132449,0.113425084,0
SD_2012,0.136242524,0.074073777,0.089946614,0.084656204,0.034392486,0.033069883,-0.412573007,0.887594821,0.112405179,0.02415355,0.007589361,0
TN_2012,0.126631786,0.082245442,0.093994732,0.086161872,0.032637054,0.022193376,-1.084299635,0.805467793,0.194532207,0.038307621,0.117500438,0
TX_2012,0.141289434,0.094650173,0.093278468,0.078189283,0.026063094,0.017832649,-0.140391642,0.770806026,0.229193974,0.348891151,0.070609117,0
UT_2012,0.168849635,0.094614242,0.077146878,0.072780425,0.024745303,0.017467364,0.604923015,0.904176212,0.095823788,0.118730231,0.022618169,0
VT_2012,0.131085859,0.068663831,0.094880605,0.101122409,0.033708134,0.023721646,0.089924738,0.957682481,0.042317519,0.013996229,0.051751254,1
VA_2012,0.132124273,0.08290152,0.097150267,0.08290152,0.028497493,0.02072542,1.160960769,0.705744502,0.294255498,0.072664879,0.147691286,1
WA_2012,0.127438144,0.084525366,0.091027273,0.087126128,0.027308201,0.023407057,0.664713289,0.808135666,0.191864334,0.093246489,0.074079622,1
WV_2012,0.118537222,0.076923286,0.087011575,0.095838403,0.037830913,0.025221062,-1.385609595,0.942595374,0.057404626,0.009995854,0.060130617,0
WI_2012,0.126137715,0.076723027,0.096228723,0.089726748,0.032509873,0.027308339,-0.103125909,0.892114668,0.107885332,0.049171766,0.066636736,1
WY_2012,0.132543701,0.078739976,0.085302025,0.102361968,0.032807938,0.017062253,0.373427339,0.932210632,0.067789368,0.083828394,0.003911338,0
